               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11214,            0.031334,                   0,             0.00275,             0.80488,           0.0024819,          0.00046018,              0.1051,            0.021452,                   0,               6e-05,               6e-05,             0.09946
                   1,             0.10519,            0.031543,                   0,           0.0029167,             0.85366,             0.00288,          0.00061646,            0.092827,            0.020225,                   0,             0.00013,             0.00013,             0.09883
                   2,            0.096893,            0.032298,                   0,          0.00079184,             0.17073,          0.00052068,          0.00011206,            0.081212,            0.019158,                   0,          0.00019998,          0.00019998,              0.0982
                   3,             0.09049,            0.031581,                   0,           0.0014167,             0.41463,            0.001032,          0.00015279,            0.073372,            0.018145,                   0,          0.00026994,          0.00026994,             0.09757
                   4,            0.088064,            0.030677,                   0,           0.0012443,             0.26829,           0.0069991,           0.0019952,            0.070932,            0.017227,                   0,          0.00033987,          0.00033987,             0.09694
                   5,            0.086471,            0.031443,                   0,           0.0013575,             0.29268,          0.00083513,          0.00014417,            0.068651,            0.016783,                   0,          0.00040975,          0.00040975,             0.09631
                   6,            0.081866,            0.029049,                   0,           0.0015476,             0.31707,           0.0010958,          0.00022626,            0.067861,            0.016276,                   0,          0.00047957,          0.00047957,             0.09568
                   7,            0.082276,            0.028881,                   0,           0.0015908,             0.34146,           0.0011794,          0.00021483,            0.068186,            0.015898,                   0,          0.00054934,          0.00054934,            0.095049
                   8,            0.079801,             0.02978,                   0,           0.0017079,             0.34146,           0.0010438,          0.00017252,            0.068009,            0.015523,                   0,          0.00061902,          0.00061902,            0.094419
                   9,            0.080378,            0.029214,                   0,           0.0017857,             0.36585,           0.0011397,          0.00019523,            0.067577,             0.01521,                   0,          0.00068862,          0.00068862,            0.093789
                  10,            0.079149,            0.029197,                   0,           0.0021764,             0.39024,           0.0012707,          0.00019993,            0.066545,            0.014985,                   0,          0.00075813,          0.00075813,            0.093158
                  11,            0.077583,            0.029444,                   0,           0.0019469,             0.39024,           0.0013217,          0.00022936,            0.066417,            0.014743,                   0,          0.00082752,          0.00082752,            0.092528
                  12,            0.077227,            0.030563,                   0,           0.0019032,             0.39024,           0.0013019,           0.0002116,            0.067162,            0.014451,                   0,          0.00089681,          0.00089681,            0.091897
                  13,            0.079347,            0.031306,                   0,           0.0018277,             0.36585,           0.0012028,          0.00023657,            0.066794,            0.014278,                   0,          0.00096596,          0.00096596,            0.091266
                  14,            0.076885,            0.030009,                   0,           0.0019157,             0.36585,           0.0013094,           0.0003245,            0.066536,            0.014129,                   0,            0.001035,            0.001035,            0.090635
                  15,            0.079441,            0.029199,                   0,           0.0019657,             0.34146,            0.001183,          0.00025379,            0.066221,            0.013954,                   0,           0.0011039,           0.0011039,            0.090004
                  16,            0.079479,            0.030002,                   0,           0.0020704,             0.39024,           0.0014268,          0.00024023,            0.065343,            0.014044,                   0,           0.0011726,           0.0011726,            0.089373
                  17,            0.075914,            0.028105,                   0,           0.0021156,             0.39024,           0.0014914,          0.00024065,            0.065516,            0.013904,                   0,           0.0012411,           0.0012411,            0.088741
                  18,            0.075596,             0.02841,                   0,           0.0019861,             0.36585,           0.0013421,          0.00021597,            0.066186,            0.013795,                   0,           0.0013095,           0.0013095,            0.088109
                  19,            0.075133,            0.029438,                   0,           0.0018669,             0.34146,           0.0011821,          0.00021666,            0.066378,            0.013583,                   0,           0.0013777,           0.0013777,            0.087478
                  20,            0.077408,            0.028347,                   0,           0.0038588,             0.04878,           0.0015963,          0.00030627,            0.066173,            0.013444,                   0,           0.0014456,           0.0014456,            0.086846
                  21,            0.076096,            0.028825,                   0,           0.0053928,            0.073171,           0.0019488,          0.00030173,            0.065482,            0.013406,                   0,           0.0015134,           0.0015134,            0.086213
                  22,            0.074429,              0.0294,                   0,           0.0063563,            0.097561,           0.0022252,          0.00046914,            0.065787,            0.013263,                   0,            0.001581,            0.001581,            0.085581
